	15C	15H	26C	26H	27C	27H	28C	28H	29C	29H	2C	2H	4C	4H	
isogroupTR114690_c0_g4	0	1	1	0	3	0	0	0	0	0	0	0	2	1	
isogroupTR114692_c1_g1	17	26	67	46	31	7	23	16	20	30	51	35	37	39	
isogroupTR114692_c1_g3	1	0	0	0	0	0	0	0	0	0	1	0	2	1	
isogroupTR114694_c5_g2	17	16	69	33	10	11	20	9	9	32	30	31	39	29	
isogroupTR114695_c2_g1	81	54	182	49	87	70	76	48	57	75	126	84	100	65	
isogroupTR114696_c2_g2	2	2	8	1	2	1	1	0	0	0	1	2	0	1	
isogroupTR114696_c2_g3	215	170	360	176	189	211	163	152	158	204	316	250	226	202	
isogroupTR114699_c2_g2	34	25	11	2	26	27	8	3	9	34	33	8	7	5	
isogroupTR114700_c6_g1	7	16	9	8	4	4	4	13	0	4	4	31	10	18	
isogroupTR114701_c4_g1	78	55	138	64	47	35	52	39	48	63	105	70	101	90	
isogroupTR114702_c3_g1	0	0	1	0	0	1	0	0	0	2	0	0	0	1	
isogroupTR114702_c4_g1	21	12	196	90	33	27	113	70	76	105	110	84	165	104	
isogroupTR114702_c4_g2	119	82	213	96	116	150	97	113	58	102	216	193	209	137	
isogroupTR114703_c0_g1	496	507	729	423	384	264	373	159	181	395	792	536	519	771	
isogroupTR114704_c3_g1	137	44	420	89	159	75	219	79	28	40	181	119	290	95	
isogroupTR114705_c2_g1	148	48	208	62	62	82	56	39	31	134	102	113	97	73	
isogroupTR114706_c0_g2	37	16	117	38	36	54	38	23	18	51	85	87	79	55	
isogroupTR114707_c2_g2	3	3	0	0	0	0	0	0	0	0	0	0	1	0	
isogroupTR114707_c5_g1	121	15	11	7	7	11	2	5	2	9	19	24	28	21	
isogroupTR114708_c4_g1	0	0	1	0	0	0	2	0	0	0	5	0	1	1	
isogroupTR114708_c5_g1	3	3	4	1	3	3	4	4	2	0	1	3	3	5	
isogroupTR114708_c6_g1	40	32	83	44	34	21	35	15	18	30	55	45	49	39	
isogroupTR114710_c5_g3	67	41	79	21	46	21	16	13	14	48	47	30	22	28	
isogroupTR114710_c6_g1	1	8	14	11	9	7	6	3	7	6	21	5	12	6	
isogroupTR114711_c6_g1	10	8	15	8	7	9	8	5	4	8	15	7	4	8	
isogroupTR114711_c7_g1	51	34	79	22	23	52	19	21	23	28	43	48	55	31	
isogroupTR114712_c3_g1	1	0	0	0	1	0	0	0	3	0	10	3	1	0	
isogroupTR114712_c4_g1	114	8	16	3	3	16	9	0	30	23	84	7	3	2	
isogroupTR114712_c4_g3	2	1	2	1	1	2	0	2	4	0	15	2	0	0	
isogroupTR114713_c12_g2	137	39	29	4	0	0	5	6	0	3	1	1	18	6	
isogroupTR114714_c4_g1	175	111	333	118	161	119	123	141	78	197	189	103	193	212	
isogroupTR114714_c5_g1	43	31	134	58	79	9	53	13	14	28	71	68	61	44	
isogroupTR114714_c6_g1	170	146	360	201	167	326	205	189	150	242	413	331	263	217	
isogroupTR114714_c6_g3	20	5	22	13	4	10	7	8	9	9	33	17	14	8	
isogroupTR114714_c7_g2	354	347	431	289	261	438	208	236	101	319	457	445	469	500	
isogroupTR114715_c1_g1	4	2	7	11	3	7	5	5	3	3	3	6	7	11	
isogroupTR114715_c2_g3	29	10	20	10	20	13	9	4	1	4	28	22	27	11	
isogroupTR114717_c2_g1	0	0	0	0	0	0	0	1	1	0	2	0	1	1	
isogroupTR114717_c2_g2	3	10	42	10	8	13	17	7	4	6	31	34	72	26	
isogroupTR114719_c0_g2	50	43	62	40	38	23	51	11	43	35	101	30	72	62	
isogroupTR114722_c2_g2	7	3	21	3	5	1	6	6	0	7	14	13	17	7	
isogroupTR114722_c2_g3	0	0	0	0	0	1	0	0	0	1	0	0	1	0	
isogroupTR114722_c3_g2	5	3	20	7	0	2	3	3	6	6	14	10	10	6	
isogroupTR114723_c1_g1	6	1	17	4	3	2	1	2	2	5	6	6	4	3	
isogroupTR114723_c2_g1	19	9	33	3	16	6	8	2	15	21	24	30	40	21	
isogroupTR114725_c5_g8	6	3	37	10	6	3	10	4	2	3	21	8	23	12	
isogroupTR114725_c5_g9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR114726_c1_g1	17	4	64	13	12	13	13	5	4	8	22	10	15	4	
isogroupTR114726_c1_g2	0	1	0	0	1	0	0	1	0	0	2	1	2	1	
isogroupTR114727_c1_g12	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
isogroupTR114727_c1_g5	6	11	15	8	5	2	3	2	3	5	8	3	4	1	
isogroupTR114727_c1_g6	10	2	11	4	0	0	2	3	3	5	9	7	3	4	
isogroupTR114727_c1_g7	31	17	21	4	9	11	9	8	7	24	13	16	14	6	
isogroupTR114727_c2_g1	2	3	2	0	0	0	0	0	0	0	0	1	0	0	
isogroupTR114729_c1_g3	8	12	29	5	5	14	11	5	2	5	25	20	18	8	
isogroupTR114730_c1_g1	16	0	28	6	4	13	6	0	5	10	11	9	7	10	
isogroupTR114731_c11_g2	45	19	82	15	21	27	9	12	14	26	36	35	29	25	
isogroupTR114731_c11_g5	13	34	31	18	10	171	16	17	22	45	53	47	29	115	
isogroupTR114733_c5_g6	48	18	56	9	37	106	17	19	11	15	75	21	27	8	
isogroupTR114733_c5_g8	4	2	21	3	5	9	3	2	2	11	2	4	4	7	
isogroupTR114734_c4_g1	25	26	67	26	21	39	15	9	20	27	51	36	35	31	
isogroupTR114735_c2_g2	0	0	2	2	2	0	2	0	3	1	2	2	0	2	
isogroupTR114736_c1_g1	299	153	362	154	189	302	156	110	165	204	562	252	235	195	
isogroupTR114736_c3_g1	64	54	119	62	79	60	45	29	36	63	106	77	70	69	
isogroupTR114740_c5_g1	8	5	11	6	6	5	1	6	3	6	7	9	4	6	
isogroupTR114741_c1_g2	41	35	72	22	33	44	16	15	11	22	35	29	40	29	
isogroupTR114741_c1_g3	31	19	63	31	28	41	37	19	21	25	39	41	46	37	
isogroupTR114742_c1_g1	20	19	36	14	14	57	7	16	5	24	43	19	38	25	
isogroupTR114742_c1_g2	0	0	2	2	1	0	1	0	0	0	0	0	0	0	
isogroupTR114742_c1_g3	2	5	6	13	3	9	8	2	2	3	7	4	13	9	
isogroupTR114743_c1_g4	1	2	5	3	0	0	0	4	0	1	1	8	3	3	
isogroupTR114744_c3_g1	132	82	165	85	71	122	82	53	84	105	193	172	79	100	
isogroupTR114744_c9_g4	7	3	18	8	5	1	11	3	4	0	41	10	1	1	
isogroupTR114744_c9_g5	196	45	700	280	73	49	372	220	16	56	301	289	324	200	
isogroupTR114744_c9_g9	4142	772	3875	1181	204	970	2392	1301	867	1773	4225	1256	2675	1220	
isogroupTR114758_c0_g1	0	0	0	0	0	0	1	1	0	0	0	2	2	0	
isogroupTR114760_c0_g1	1	1	13	1	2	1	1	1	2	5	6	2	2	3	
isogroupTR114774_c0_g1	27	14	42	17	22	18	27	17	19	21	54	27	43	22	
isogroupTR114778_c1_g1	671	373	1273	511	394	489	453	363	305	664	844	655	649	552	
isogroupTR114790_c0_g2	3	5	12	0	6	4	5	6	4	7	6	5	9	7	
isogroupTR114796_c1_g1	0	0	2	1	0	0	1	0	0	0	0	2	0	0	
isogroupTR114796_c1_g2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR114797_c0_g2	0	1	1	0	1	0	1	1	0	0	0	1	0	0	
isogroupTR114805_c4_g1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
isogroupTR114809_c0_g8	79	81	140	113	57	86	68	51	67	99	152	147	59	62	
isogroupTR114810_c0_g1	199	103	251	75	161	172	90	118	72	150	270	171	186	146	
isogroupTR114818_c0_g2	2	0	6	1	1	2	0	0	0	1	10	3	1	0	
isogroupTR114837_c0_g1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
isogroupTR114916_c0_g1	0	1	2	0	0	0	2	0	16	64	0	0	0	0	
isogroupTR114923_c0_g1	25	16	50	17	23	12	31	16	10	30	50	29	28	14	
isogroupTR114928_c0_g1	126	80	388	120	152	87	156	118	38	116	179	254	269	143	
isogroupTR114935_c0_g4	0	0	0	3	0	0	3	1	1	0	0	0	1	2	
isogroupTR114946_c0_g2	1	2	2	4	5	0	3	4	2	3	7	10	19	10	
isogroupTR114950_c0_g1	110	63	151	60	79	68	91	62	66	71	100	72	151	105	
isogroupTR114954_c0_g1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroupTR114964_c0_g1	7	9	20	11	20	16	14	10	4	6	20	27	14	11	
isogroupTR114972_c0_g1	13	11	42	16	25	6	15	21	6	12	18	26	15	18	
isogroupTR114989_c0_g1	90	39	106	20	35	92	20	8	70	28	95	32	44	33	
isogroupTR114_c0_g1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	
isogroupTR115003_c0_g1	4	6	5	3	2	0	0	0	2	5	0	3	6	9	
isogroupTR115003_c1_g1	1	5	6	0	1	1	1	1	0	2	2	1	7	2	
isogroupTR115007_c0_g1	21	7	54	16	9	6	16	43	18	38	52	33	36	32	
isogroupTR115012_c0_g1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	
isogroupTR115023_c0_g1	148	69	181	52	100	106	47	36	90	132	134	119	106	108	
isogroupTR115024_c0_g1	4	2	13	5	2	9	5	6	1	4	5	8	5	5	
isogroupTR115041_c0_g1	3	0	2	0	1	0	1	3	3	0	4	2	3	1	
isogroupTR115050_c0_g2	3	3	3	3	2	0	1	0	1	1	2	1	2	1	
isogroupTR115052_c1_g1	36	8	19	5	1	6	2	11	2	10	3	3	3	7	
isogroupTR115055_c0_g1	0	1	2	0	1	0	0	0	0	0	2	0	2	0	
isogroupTR115066_c0_g1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	
isogroupTR115078_c1_g1	4	4	1	4	2	6	9	6	4	7	5	5	11	5	
isogroupTR115079_c1_g1	1	0	5	0	0	1	2	0	2	1	4	1	1	1	
isogroupTR115083_c0_g1	5	1	5	5	7	7	7	3	4	3	5	3	2	1	
isogroupTR115090_c1_g2	31	36	51	24	21	29	15	25	13	31	39	33	34	47	
isogroupTR115092_c0_g1	0	1	0	0	0	0	0	1	0	0	1	1	2	1	
isogroupTR115094_c1_g1	21	13	20	12	15	11	4	4	3	18	18	24	13	10	
isogroupTR115121_c0_g1	3	0	1	1	0	0	2	0	0	0	1	0	3	1	
isogroupTR115128_c0_g1	4	0	4	2	1	0	2	1	1	2	0	1	1	7	
isogroupTR115137_c0_g1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	
isogroupTR115139_c0_g1	87	41	159	23	50	68	31	32	17	46	85	62	63	47	
isogroupTR115146_c0_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroupTR115150_c0_g1	46	83	24	16	10	1755	5	32	75	158	33	135	23	163	
isogroupTR115161_c0_g1	9	3	7	7	0	18	4	3	7	12	4	9	7	9	
isogroupTR115163_c0_g1	6	3	21	7	9	6	4	10	5	11	18	11	25	5	
isogroupTR115170_c0_g1	0	2	1	0	0	2	1	0	0	2	0	0	0	0	
isogroupTR115170_c2_g1	0	2	0	0	0	0	0	0	0	0	0	2	1	0	
isogroupTR115173_c1_g1	2	2	5	0	17	10	2	0	3	2	14	1	12	4	
isogroupTR115179_c0_g1	1	1	0	1	2	0	0	0	1	2	8	0	0	0	
isogroupTR115181_c1_g1	65	47	154	57	57	66	58	65	65	86	142	98	71	79	
isogroupTR115184_c0_g1	8	7	12	12	8	5	6	6	1	4	8	15	20	6	
isogroupTR115191_c0_g1	0	0	2	0	0	0	0	1	0	0	0	1	0	0	
isogroupTR115192_c0_g2	0	1	1	3	0	0	1	1	0	0	1	2	2	0	
isogroupTR115193_c11_g1	31	5	44	10	7	2	8	1	10	27	21	13	11	9	
isogroupTR115193_c14_g1	141	34	109	28	51	69	42	41	17	68	102	82	50	43	
isogroupTR115193_c15_g2	50	60	115	60	50	42	65	44	48	54	90	64	83	82	
isogroupTR115193_c1_g1	40	45	85	21	46	40	29	22	33	40	78	39	47	51	
isogroupTR115193_c1_g2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR115194_c1_g1	474	192	884	225	286	203	179	118	149	371	424	303	475	299	
isogroupTR115195_c1_g1	9	4	10	7	4	6	2	2	2	5	14	19	2	8	
isogroupTR115198_c3_g1	4	3	15	0	5	3	1	3	0	6	9	3	3	5	
isogroupTR115198_c4_g1	4	7	15	7	12	3	7	0	3	4	5	6	8	15	
isogroupTR115198_c4_g2	4	2	1	1	0	0	2	0	0	1	1	1	2	3	
isogroupTR115198_c4_g5	5	1	15	9	5	1	2	0	1	7	3	4	12	3	
isogroupTR115199_c1_g1	27	6	27	12	8	14	7	7	9	7	37	23	16	16	
isogroupTR115199_c2_g1	1	1	10	5	2	2	2	0	1	1	6	1	3	3	
isogroupTR115199_c3_g1	64	13	77	30	44	40	29	24	24	39	71	34	49	23	
isogroupTR115207_c1_g1	62	24	98	24	42	26	35	19	38	33	75	56	42	32	
isogroupTR115207_c1_g2	2	0	1	0	0	0	0	1	0	0	0	0	0	0	
isogroupTR115207_c1_g3	2	1	7	4	4	0	1	0	1	0	2	0	6	1	
isogroupTR115208_c0_g1	6	2	5	3	1	3	0	1	2	2	4	6	2	4	
isogroupTR115210_c0_g1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	
isogroupTR115212_c0_g1	0	0	0	1	3	0	0	0	0	1	0	1	0	1	
isogroupTR115213_c1_g1	54	18	41	31	16	42	13	11	15	25	25	32	31	36	
isogroupTR115214_c0_g2	11	10	8	1	14	28	2	1	7	28	20	13	10	7	
isogroupTR115217_c0_g1	44	37	96	76	78	42	56	54	16	39	54	76	116	103	
isogroupTR115219_c3_g1	14	7	23	7	8	14	8	9	2	5	10	7	8	5	
isogroupTR115220_c2_g1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	
isogroupTR115220_c3_g2	0	0	0	0	0	0	1	0	0	1	1	1	0	0	
isogroupTR115220_c4_g1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	
isogroupTR115220_c4_g4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR115220_c4_g5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroupTR115220_c4_g9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
isogroupTR115223_c3_g5	25	10	36	12	2	3	9	12	0	6	15	13	10	2	
isogroupTR115224_c0_g1	4	1	6	9	1	3	0	5	3	2	10	6	7	7	
isogroupTR115225_c7_g1	18	13	14	7	11	5	3	1	0	10	57	28	5	10	
isogroupTR115230_c1_g1	72	54	53	26	42	46	19	23	29	53	83	77	39	22	
isogroupTR115231_c0_g1	3	8	5	5	5	10	3	4	4	3	11	3	2	5	
isogroupTR115234_c11_g6	108	65	276	66	149	27	128	40	90	123	230	121	202	66	
isogroupTR115234_c8_g1	1099	595	1477	478	818	805	584	342	538	644	779	896	805	672	
isogroupTR115234_c9_g3	7	0	15	0	2	0	11	0	0	0	8	3	14	1	
isogroupTR115235_c1_g3	2	2	2	0	2	0	2	0	0	0	3	0	2	0	
isogroupTR115235_c6_g1	12	5	10	7	6	9	4	2	3	9	12	16	5	9	
isogroupTR115235_c7_g3	15	21	48	16	25	12	16	5	10	10	39	8	32	30	
isogroupTR115236_c0_g1	6	3	8	1	6	1	2	2	2	3	4	6	5	0	
isogroupTR115236_c1_g1	16	7	19	4	11	11	5	6	9	10	17	13	5	7	
isogroupTR115237_c6_g3	3	9	141	23	35	89	33	37	12	102	70	30	26	25	
isogroupTR115239_c1_g1	18	9	37	12	11	14	13	8	4	4	20	20	21	14	
isogroupTR115239_c1_g2	74	45	165	78	46	21	59	23	17	29	54	58	58	48	
isogroupTR115239_c2_g1	315	131	237	99	148	161	146	145	43	186	377	404	357	159	
isogroupTR115242_c10_g2	0	0	1	0	0	0	1	0	0	0	0	0	1	0	
isogroupTR115242_c10_g3	0	2	2	0	1	0	1	0	0	0	1	0	3	0	
isogroupTR115242_c10_g5	11	11	11	13	6	3	12	2	8	8	11	6	6	10	
isogroupTR115242_c10_g6	4	10	6	18	5	3	2	16	2	7	16	14	7	9	
isogroupTR115242_c2_g1	3	7	10	3	6	0	6	1	0	2	3	2	7	5	
isogroupTR115242_c7_g1	0	0	1	1	1	1	0	0	0	0	0	0	0	1	
isogroupTR115245_c0_g2	212	52	374	52	98	98	88	62	47	186	171	140	118	74	
isogroupTR115245_c0_g5	5	4	14	10	6	3	2	1	9	3	19	7	5	7	
isogroupTR115246_c0_g1	94	56	153	53	77	63	48	38	52	74	109	91	79	54	
isogroupTR115248_c1_g1	165	87	307	143	99	156	136	96	68	173	207	166	119	155	
isogroupTR115249_c0_g1	1	1	2	0	3	0	1	0	0	3	3	0	3	1	
isogroupTR115250_c6_g3	1	1	5	1	0	3	1	3	1	5	1	3	2	4	
isogroupTR115250_c8_g2	1	2	0	2	1	2	2	0	0	4	2	2	1	0	
isogroupTR115250_c8_g3	13	6	47	8	11	12	3	7	4	17	5	11	11	6	
isogroupTR115250_c8_g7	4	7	20	13	14	8	12	1	4	6	14	5	8	9	
isogroupTR115251_c0_g1	19	11	26	16	22	19	13	12	8	8	40	14	21	9	
isogroupTR115252_c4_g1	125	63	230	55	105	116	74	73	49	79	183	125	122	59	
isogroupTR115252_c5_g1	1	2	0	0	1	0	1	0	1	0	3	2	0	2	
isogroupTR115252_c5_g5	3	1	1	0	2	0	2	0	1	0	0	0	0	1	
isogroupTR115253_c1_g1	0	0	3	1	0	0	1	0	0	2	0	0	0	0	
isogroupTR115254_c5_g3	0	1	2	2	0	2	1	0	0	0	1	0	0	0	
isogroupTR115254_c7_g4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
isogroupTR115254_c8_g3	26	25	46	14	33	19	14	10	6	30	35	81	43	20	
isogroupTR115257_c13_g3	66	20	79	26	19	57	28	32	23	49	64	51	36	26	
isogroupTR115257_c9_g1	2	2	3	3	0	1	0	0	2	1	8	2	3	1	
isogroupTR115258_c0_g1	128	158	352	179	227	125	141	67	127	173	380	241	199	267	
isogroupTR115259_c4_g1	3	2	0	4	1	3	2	2	3	2	5	7	2	3	
isogroupTR115259_c5_g1	4	9	14	5	4	6	5	6	1	11	7	10	15	10	
isogroupTR115262_c0_g1	1	5	7	8	1	1	0	1	1	7	8	1	4	7	
isogroupTR115263_c1_g1	19	0	54	9	17	4	8	5	0	10	12	22	13	2	
isogroupTR115267_c1_g1	8	6	25	9	6	4	7	8	11	8	21	19	9	2	
isogroupTR115267_c3_g1	1	1	7	10	0	9	3	15	1	10	4	19	3	2	
isogroupTR115267_c6_g1	1	4	6	4	6	2	5	2	0	1	7	5	5	6	
isogroupTR115267_c6_g2	62	62	108	63	53	130	54	61	90	54	125	81	104	72	
isogroupTR115267_c6_g3	8	10	16	22	28	6	17	9	17	9	14	17	12	18	
isogroupTR115271_c15_g1	23	9	22	5	16	12	7	5	8	9	28	14	24	20	
isogroupTR115271_c16_g1	209	62	354	80	12	22	97	103	9	31	1293	427	317	318	
isogroupTR115271_c18_g1	405	155	536	231	211	175	199	141	157	278	692	290	400	261	
isogroupTR115273_c0_g2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
isogroupTR115273_c1_g1	4	4	44	3	5	3	15	0	0	5	4	7	3	5	
isogroupTR115276_c11_g1	0	2	2	0	3	2	1	0	1	0	1	1	0	0	
isogroupTR115276_c13_g3	75	57	146	72	42	216	21	34	16	85	96	89	34	55	
isogroupTR115276_c13_g5	813	404	1033	473	368	858	438	368	457	604	960	602	593	574	
isogroupTR115278_c10_g2	27	18	9	7	2	90	3	6	42	18	22	8	3	16	
isogroupTR115279_c4_g1	136	57	130	33	51	106	35	70	33	143	82	114	84	64	
isogroupTR115279_c5_g1	33	23	17	6	9	92	4	4	42	38	43	20	31	22	
isogroupTR115279_c6_g1	33	10	71	15	19	20	26	11	11	20	33	29	39	25	
isogroupTR115279_c7_g2	34	15	13	6	8	13	5	3	23	9	47	14	3	20	
isogroupTR115279_c7_g7	302	94	194	67	104	296	65	71	217	188	352	145	173	109	
isogroupTR115281_c3_g2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroupTR115281_c6_g1	892	517	1385	733	740	1018	863	913	871	1136	1882	1486	1087	881	
isogroupTR115282_c1_g1	117	36	240	41	86	84	46	35	28	107	144	140	123	75	
isogroupTR115283_c6_g1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	
isogroupTR115283_c7_g1	0	0	4	0	0	2	6	5	1	6	0	0	0	1	
isogroupTR115283_c8_g1	11	3	13	4	1	9	2	1	8	4	7	6	2	13	
isogroupTR115283_c9_g1	116	36	261	88	108	115	91	96	33	79	80	130	131	76	
isogroupTR115283_c9_g3	2	0	13	2	0	0	2	0	0	2	0	1	0	0	
isogroupTR115287_c0_g4	0	2	9	3	4	0	1	1	0	0	3	3	7	2	
isogroupTR115288_c4_g1	14	7	32	14	12	10	7	12	6	7	10	12	10	16	
isogroupTR115288_c4_g2	24	18	4	3	0	8	5	3	4	1	7	4	7	4	
isogroupTR115288_c5_g4	21	13	54	18	12	14	15	8	4	29	19	20	7	14	
isogroupTR115288_c7_g1	0	7	7	0	1	2	2	1	2	1	2	4	4	2	
isogroupTR115290_c0_g1	0	1	0	0	0	0	0	1	0	2	0	0	1	1	
isogroupTR115291_c3_g1	136	62	168	66	51	125	72	92	38	109	146	158	112	114	
isogroupTR115291_c4_g11	16	6	20	11	7	12	3	10	4	8	9	7	9	7	
isogroupTR115291_c4_g12	82	35	134	26	37	47	40	35	26	53	95	60	79	53	
isogroupTR115291_c4_g2	1	3	16	7	10	5	2	3	5	11	18	13	12	8	
isogroupTR115292_c2_g1	0	1	5	3	2	0	2	1	0	1	5	3	0	2	
isogroupTR115293_c5_g1	1	1	4	1	2	1	2	2	2	4	8	4	3	5	
isogroupTR115293_c5_g3	6	2	13	4	3	7	5	4	1	8	2	11	6	8	
isogroupTR115294_c3_g1	2	1	8	0	2	2	2	1	2	3	1	2	5	0	
isogroupTR115295_c6_g5	0	0	0	0	1	0	0	0	1	0	3	1	1	1	
isogroupTR115296_c4_g1	0	1	2	5	0	1	1	4	0	0	1	2	5	4	
isogroupTR115296_c5_g1	4	13	3	2	4	1	0	1	0	0	3	3	4	3	
isogroupTR115296_c6_g1	0	0	1	0	2	1	3	0	0	2	0	0	3	0	
isogroupTR115297_c0_g2	2	4	3	4	2	5	2	2	2	3	9	1	5	11	
isogroupTR115299_c0_g1	0	3	2	2	2	6	9	1	3	3	5	3	7	3	
isogroupTR115299_c3_g1	1	3	2	4	4	0	0	1	2	3	6	5	4	8	
isogroupTR115299_c5_g1	376	195	647	250	278	317	320	145	410	275	693	406	314	287	
isogroupTR115300_c11_g2	3	1	2	0	0	0	0	0	1	0	5	0	3	2	
isogroupTR115300_c7_g1	200	100	256	108	109	144	97	102	62	150	245	188	153	132	
isogroupTR115300_c9_g2	19	12	77	31	19	15	31	18	17	27	49	24	25	30	
isogroupTR115301_c2_g4	1	1	4	3	4	1	0	2	2	3	4	2	9	4	
isogroupTR115302_c0_g3	171	165	408	120	189	82	152	44	66	165	297	243	260	231	
isogroupTR115303_c2_g2	0	0	1	0	0	0	0	0	0	1	0	0	1	0	
isogroupTR115303_c2_g3	0	0	1	2	0	0	0	0	0	2	0	0	0	0	
isogroupTR115303_c7_g2	8	4	21	13	7	8	7	12	2	11	24	15	28	14	
isogroupTR115305_c1_g1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
isogroupTR115305_c6_g3	29	14	52	26	26	66	18	25	11	58	56	77	32	34	
isogroupTR115306_c1_g1	9	2	14	4	5	8	4	9	1	9	10	6	9	3	
isogroupTR115306_c1_g2	0	3	7	5	2	1	4	4	1	11	5	7	6	5	
isogroupTR115306_c1_g3	0	1	0	0	0	0	0	1	0	0	0	0	2	0	
isogroupTR115306_c1_g5	1	0	3	0	0	0	0	0	0	0	1	3	0	0	
isogroupTR115307_c1_g2	21	18	35	26	24	14	13	2	19	9	60	26	14	13	
isogroupTR115310_c1_g3	237	136	619	253	232	208	282	247	176	348	426	377	329	253	
isogroupTR115311_c10_g1	0	3	5	2	8	1	7	1	2	1	6	3	9	4	
isogroupTR115311_c12_g1	19	4	28	7	11	10	3	3	7	16	19	10	13	8	
isogroupTR115312_c5_g2	5	1	4	3	1	4	1	1	3	4	4	0	2	1	
isogroupTR115312_c5_g5	5	3	20	4	6	2	5	5	3	6	9	3	10	4	
isogroupTR115312_c5_g6	24	12	28	9	9	17	12	9	11	18	12	11	20	8	
isogroupTR115313_c2_g1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	
isogroupTR115313_c2_g3	1	1	0	0	2	2	0	0	0	0	1	0	1	2	
isogroupTR115313_c3_g1	3	2	5	1	1	0	2	0	0	4	6	4	3	1	
isogroupTR115314_c4_g1	184	111	407	82	124	94	112	75	104	135	271	172	216	180	
isogroupTR115315_c0_g1	152	72	264	64	74	80	80	77	76	107	182	137	145	116	
isogroupTR115316_c2_g1	756	224	585	162	400	755	265	231	344	314	1151	551	299	270	
isogroupTR115317_c4_g1	109	59	216	85	96	112	78	77	49	112	145	151	98	107	
isogroupTR115318_c3_g1	1	0	2	0	1	1	1	0	0	3	2	0	0	1	
isogroupTR115318_c4_g5	1	1	4	1	0	0	1	0	0	0	1	1	1	4	
isogroupTR115318_c4_g6	4	4	7	2	2	0	2	2	0	6	5	4	2	2	
isogroupTR115319_c0_g1	11	4	23	9	0	8	7	5	7	11	15	12	5	11	
isogroupTR115320_c4_g2	62	25	117	38	45	41	33	22	15	49	45	46	45	43	
isogroupTR115324_c0_g1	78	36	81	35	39	30	44	20	22	50	79	53	61	67	
isogroupTR115327_c2_g1	66	57	170	56	96	42	81	32	51	69	92	66	129	82	
isogroupTR115327_c3_g1	47	14	96	18	21	23	23	21	9	27	24	16	38	19	
isogroupTR115330_c0_g1	42	33	111	28	39	46	33	22	24	38	72	78	70	42	
isogroupTR115331_c0_g1	1105	290	618	173	231	711	195	237	462	535	723	449	272	202	
isogroupTR115332_c1_g1	10	9	40	17	8	4	12	3	3	14	12	8	11	9	
isogroupTR115333_c1_g1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	
isogroupTR115333_c2_g1	10	1	12	6	0	1	5	2	0	2	1	1	13	6	
isogroupTR115334_c0_g2	52	8	36	3	27	14	7	7	10	12	23	18	14	4	
isogroupTR115335_c1_g2	205	132	59	25	46	191	25	51	32	115	238	141	25	56	
isogroupTR115337_c4_g1	134	67	69	29	38	171	33	24	122	72	147	122	61	56	
isogroupTR115337_c4_g2	38	18	33	12	17	41	9	11	9	40	45	28	21	16	
isogroupTR115338_c5_g1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	
isogroupTR115339_c9_g2	20	13	56	29	43	16	35	9	18	25	41	26	39	34	
isogroupTR115340_c2_g1	43	14	79	39	26	35	32	32	24	37	63	54	58	39	
isogroupTR115341_c0_g2	289	412	794	724	271	1471	260	664	155	1278	464	1089	422	860	
isogroupTR115342_c3_g1	7	0	6	2	5	1	2	2	1	1	1	3	4	3	
isogroupTR115342_c3_g2	28	13	37	10	18	22	17	13	19	10	47	38	21	13	
isogroupTR115342_c4_g2	0	1	0	2	4	4	3	1	3	2	8	4	1	1	
isogroupTR115343_c1_g1	8	4	5	3	6	13	3	1	3	8	10	9	5	2	
isogroupTR115344_c3_g1	27	12	14	5	2	5	5	4	5	6	11	9	15	15	
isogroupTR115346_c0_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroupTR115346_c2_g1	2	0	4	1	4	2	7	0	1	2	1	4	0	0	
isogroupTR115346_c2_g2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroupTR115346_c2_g4	2	1	1	1	1	1	0	0	1	0	2	1	0	1	
