	15C	15H	26C	26H	27C	27H	28C	28H	29C	29H	2C	2H	4C	4H	
isogroupTR100428_c1_g2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR100451_c0_g1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroupTR100468_c0_g1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
isogroupTR100488_c0_g1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	
isogroupTR100488_c1_g1	1	0	5	2	0	0	3	1	0	1	5	2	0	1	
isogroupTR100492_c0_g1	0	0	7	1	4	8	0	1	1	0	3	2	0	0	
isogroupTR100506_c0_g1	0	0	0	1	0	0	0	0	0	1	1	0	1	1	
isogroupTR100508_c0_g1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroupTR100527_c0_g2	1	2	3	1	1	1	0	0	1	1	4	4	1	0	
isogroupTR100552_c0_g1	1	3	20	1	4	2	3	3	4	7	5	4	4	5	
isogroupTR100569_c0_g2	2	1	3	0	0	0	1	0	1	1	1	0	0	1	
isogroupTR100577_c0_g1	2	1	1	2	7	25	0	1	1	4	0	3	1	1	
isogroupTR100593_c1_g1	11	3	13	3	10	11	4	2	4	11	20	16	4	5	
isogroupTR100611_c0_g1	11	2	28	2	5	5	6	0	2	8	10	4	4	4	
isogroupTR100652_c0_g1	0	0	2	0	0	0	0	0	0	3	2	0	5	1	
isogroupTR100656_c0_g1	26	9	61	21	13	10	21	11	2	11	34	21	15	7	
isogroupTR100679_c0_g2	1323	343	1719	318	461	737	461	399	366	1011	981	703	770	491	
isogroupTR100732_c0_g1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	
isogroupTR100740_c1_g1	0	0	0	0	0	0	0	0	1	1	0	1	3	1	
isogroupTR100755_c0_g1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
isogroupTR100755_c0_g2	0	0	3	1	1	1	0	1	0	0	0	0	1	1	
isogroupTR100763_c0_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR100805_c1_g1	6	4	5	1	6	3	2	4	1	4	10	10	10	7	
isogroupTR100832_c0_g1	2	1	2	0	1	0	1	0	0	1	0	0	0	0	
isogroupTR100837_c0_g1	8	20	45	25	38	94	17	27	15	46	34	35	45	32	
isogroupTR100848_c1_g1	2	0	5	0	0	4	0	1	0	0	6	3	0	1	
isogroupTR100850_c0_g1	120	112	414	140	222	106	288	153	110	120	240	278	240	199	
isogroupTR100855_c0_g1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	
isogroupTR100858_c0_g1	1343	341	1948	503	392	630	549	371	481	1057	1314	887	618	585	
isogroupTR100870_c2_g1	57	24	78	38	22	54	23	30	35	43	56	32	22	32	
isogroupTR100877_c0_g2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroupTR100889_c0_g1	3	4	13	8	5	6	3	8	1	5	17	12	8	14	
isogroupTR100895_c0_g1	7	1	33	5	6	14	5	5	1	2	10	10	6	2	
isogroupTR100899_c0_g1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR100900_c2_g1	1	0	1	0	1	1	0	1	0	0	1	1	1	0	
isogroupTR100901_c0_g1	3	0	1	1	1	0	0	5	1	1	1	0	1	0	
isogroupTR100904_c3_g1	27	9	36	8	11	10	12	10	7	19	23	11	12	13	
